Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2009-2010,Lowest Draw %,Bursaspor,16,2,Win,1.0,1
2009-2010,Lowest Draw %,Sivasspor,16,4,Win,2.0,3
2009-2010,Longest Unbeaten Streak,Kasimpasa,16,2,Win,1.0,1
2009-2010,Longest Unbeaten Streak,Gaziantepspor,16,5,Win,3.0,5
2009-2010,Longest Unbeaten Streak,Galatasaray,16,3,Win,2.0,2
2009-2010,Highest Loss %,Denizlispor,16,6,Win,4.0,8
2009-2010,Highest Loss %,Sivasspor,16,4,Win,2.0,3
2009-2010,Highest Loss %,Ankaragucu,16,1,Win,2.0,1
2009-2010,Highest Win %,Fenerbahce,16,3,Win,2.0,2
2009-2010,Highest Win %,Galatasaray,16,3,Win,2.0,2
2009-2010,Highest Win %,Bursaspor,16,2,Win,1.0,1
2008-2009,Lowest Draw %,Denizlispor,17,7,Win,6.0,13
2008-2009,Lowest Draw %,Galatasaray,17,2,Win,1.0,1
2008-2009,Lowest Draw %,Hacettepespor,17,1,Win,2.0,1
2008-2009,Longest Unbeaten Streak,Fenerbahce,17,1,Win,2.0,1
2008-2009,Longest Unbeaten Streak,Sivasspor,17,1,Win,2.0,1
2008-2009,Longest Unbeaten Streak,Gaziantepspor,17,1,Win,2.0,1
2008-2009,Highest Loss %,Hacettepespor,17,1,Win,2.0,1
2008-2009,Highest Loss %,Kocaelispor,17,5,Win,3.0,5
2008-2009,Highest Loss %,Denizlispor,17,7,Win,6.0,13
2008-2009,Highest Win %,Sivasspor,17,1,Win,2.0,1
2008-2009,Highest Win %,Galatasaray,17,2,Win,1.0,1
2008-2009,Highest Win %,Ankaraspor,17,5,Win,3.0,5
2007-2008,Lowest Draw %,Sivasspor,17,4,Win,2.0,3
2007-2008,Lowest Draw %,Denizlispor,17,1,Win,2.0,1
2007-2008,Lowest Draw %,Gaziantepspor,17,4,Win,2.0,3
2007-2008,Longest Unbeaten Streak,Fenerbahce,17,1,Win,2.0,1
2007-2008,Longest Unbeaten Streak,Besiktas,17,17,Loss,-4180.0,1597
2007-2008,Longest Unbeaten Streak,Rizespor,17,6,Win,4.0,8
2007-2008,Highest Loss %,Kasimpasa,17,7,Win,6.0,13
2007-2008,Highest Loss %,Genclerbirligi,17,1,Win,2.0,1
2007-2008,Highest Loss %,Manisaspor,17,6,Win,4.0,8
2007-2008,Highest Win %,Sivasspor,17,4,Win,2.0,3
2007-2008,Highest Win %,Fenerbahce,17,1,Win,2.0,1
2007-2008,Highest Win %,Galatasaray,17,11,Win,35.0,89
2005-2006,Lowest Draw %,Galatasaray,17,2,Win,1.0,1
2005-2006,Lowest Draw %,Kayserispor,17,2,Win,1.0,1
2005-2006,Lowest Draw %,Fenerbahce,17,2,Win,1.0,1
2005-2006,Longest Unbeaten Streak,Fenerbahce,17,2,Win,1.0,1
2005-2006,Longest Unbeaten Streak,Malatyaspor,17,1,Win,2.0,1
2005-2006,Longest Unbeaten Streak,Ankaragucu,17,4,Win,2.0,3
2005-2006,Highest Loss %,Denizlispor,17,2,Win,1.0,1
2005-2006,Highest Loss %,Diyarbakirspor,17,2,Win,1.0,1
2005-2006,Highest Loss %,Samsunspor,17,9,Win,14.0,34
2005-2006,Highest Win %,Fenerbahce,17,2,Win,1.0,1
2005-2006,Highest Win %,Galatasaray,17,2,Win,1.0,1
2005-2006,Highest Win %,Kayserispor,17,2,Win,1.0,1
2004-2005,Lowest Draw %,Fenerbahce,17,2,Win,1.0,1
2004-2005,Lowest Draw %,Sakaryaspor,17,1,Win,2.0,1
2004-2005,Lowest Draw %,Kayserispor,17,3,Win,2.0,2
2004-2005,Longest Unbeaten Streak,Besiktas,17,6,Win,4.0,8
2004-2005,Longest Unbeaten Streak,Galatasaray,17,9,Win,14.0,34
2004-2005,Longest Unbeaten Streak,Trabzonspor,17,9,Win,14.0,34
2004-2005,Highest Loss %,Kayserispor,17,3,Win,2.0,2
2004-2005,Highest Loss %,Sakaryaspor,17,1,Win,2.0,1
2004-2005,Highest Loss %,A. Sebatspor,17,4,Win,2.0,3
2004-2005,Highest Win %,Fenerbahce,17,2,Win,1.0,1
2004-2005,Highest Win %,Galatasaray,17,9,Win,14.0,34
2004-2005,Highest Win %,Trabzonspor,17,9,Win,14.0,34
2003-2004,Lowest Draw %,Gaziantepspor,17,7,Win,6.0,13
2003-2004,Lowest Draw %,Genclerbirligi,17,1,Win,2.0,1
2003-2004,Lowest Draw %,Adanaspor,17,2,Win,1.0,1
2003-2004,Longest Unbeaten Streak,Besiktas,17,3,Win,2.0,2
2003-2004,Longest Unbeaten Streak,Diyarbakirspor,17,1,Win,2.0,1
2003-2004,Longest Unbeaten Streak,Samsunspor,17,5,Win,3.0,5
2003-2004,Highest Loss %,Adanaspor,17,2,Win,1.0,1
2003-2004,Highest Loss %,Elazigspor,17,1,Win,2.0,1
2003-2004,Highest Loss %,A. Sebatspor,17,2,Win,1.0,1
2003-2004,Highest Win %,Besiktas,17,3,Win,2.0,2
2003-2004,Highest Win %,Fenerbahce,17,4,Win,2.0,3
